7C-6A-8A; 7C6A8A; SINOBONDER Technology Co., Ltd.; Building 1, No. 245, Guanchang Road, Dongcheng District; 523000; CN
90-EC-E3; 90ECE3; Nokia; 600 March Road; 2E6; CA
88-7B-2C; 887B2C; zte corporation; 12/F.,zte R&D building ,kejinan Road,Shenzhen,P.R.China; 518057; CN
60-DB-EF; 60DBEF; Unify Software and Solutions GmbH & Co. KG; Otto-Hahn-Ring 6; 81739; DE
40-84-32; 408432; Microchip Technology Inc.; 2355 W. Chandler Blvd.; 85224; US
88-B5-FF; 88B5FF; Shenzhen iComm Semiconductor CO.,LTD; Room 601,Block B ,Digital Building,Garden City; 518067; CN
84-28-59; 842859; Amazon Technologies Inc.; P.O Box 8102; 89507; US
AC-C0-48; ACC048; OnePlus Technology (Shenzhen) Co., Ltd; 18C02, 18C03, 18C04 ,18C05,TAIRAN BUILDING,; 518000; CN
90-56-07; 905607; Sichuan AI-Link Technology Co., Ltd.; Anzhou,Industrial Park; 621000; CN
48-31-33; 483133; Robert Bosch Elektronika Kft.; Robert Bosch út 1.; 3000; HU
B8-AB-61; B8AB61; Cisco Meraki; 500 Terry A. Francois Blvd; 94158; US
44-D5-C1; 44D5C1; EM Microelectronic; Rue des Sors 3; 2074; CH
40-B7-FC; 40B7FC; Phyplus Microelectronics Limited; 304 Building 1 No.608 Sheng Xia Road; 200000; CN
68-2C-4F; 682C4F; leerang corporation; #101,69, Jongam-ro 28-gil, Seongbuk-gu; 02797; KR
FC-59-C0; FC59C0; Arista Networks; 5453 Great America Parkway; 95054; US
64-1B-2F; 641B2F; Samsung Electronics Co.,Ltd; #94-1, Imsoo-Dong; 730-350; KR
68-DD-B7; 68DDB7; TP-LINK TECHNOLOGIES CO.,LTD.; Building 24(floors 1,3,4,5)and 28(floors 1-4)Central Science and Technology Park,Shennan Road,Nanshan; 518057; CN
14-D8-64; 14D864; TP-LINK TECHNOLOGIES CO.,LTD.; Building 24(floors 1,3,4,5)and 28(floors 1-4)Central Science and Technology Park,Shennan Road,Nanshan; 518057; CN
B8-51-A9; B851A9; Nokia; 600 March Road; 2E6; CA
D0-77-CE; D077CE; Edgecore Networks Corporation; 1 Creation RD 3.; 30077; TW
EC-AF-F9; ECAFF9; Hailo Technologies Ltd.; 94 Yigal Alon; 6789139; IL
60-15-2B; 60152B; Palo Alto Networks; 3000 Tannery Way; 95054; US
28-EC-22; 28EC22; eero inc.; 660 3rd Street; 94107; US
40-D4-F6; 40D4F6; Honor Device Co., Ltd.; Suite 3401, Unit A, Building 6, Shum Yip Sky Park, No. 8089, Hongli West Road, Xiangmihu Street, Futian District; 518040; CN
7C-31-80; 7C3180; SMK corporation; 6-5-5 Togoshi; 1428511; JP
78-2D-AD; 782DAD; HUAWEI TECHNOLOGIES CO.,LTD; No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park; 523808; CN
D0-61-58; D06158; HUAWEI TECHNOLOGIES CO.,LTD; No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park; 523808; CN
24-4B-F1; 244BF1; HUAWEI TECHNOLOGIES CO.,LTD; No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park; 523808; CN
44-D7-7E; 44D77E; Robert Bosch GmbH; Tuebinger Str. 123; 72762; DE
00-16-F6; 0016F6; Nevion; Lysaker Torg 5; NO-1366; NO
9C-73-B1; 9C73B1; Samsung Electronics Co.,Ltd; #94-1, Imsoo-Dong; 730-350; KR
38-8A-06; 388A06; Samsung Electronics Co.,Ltd; #94-1, Imsoo-Dong; 730-350; KR
B0-D8-88; B0D888; Panasonic Automotive Systems Co.,Ltd; 5652; 399-8730; JP
84-3E-1D; 843E1D; Hui Zhou Gaoshengda Technology Co.,LTD; No.2,Jin-da Road,Huinan Industrial Park; 516025; CN
40-ED-00; 40ED00; TP-Link Corporation Limited; Room 901,9/F.New East Ocean Centre, 9 Science Museum Road; 999077; HK
90-88-55; 908855; Cisco Systems, Inc; 80 West Tasman Drive; 94568; US
68-71-61; 687161; Cisco Systems, Inc; 80 West Tasman Drive; 94568; US
88-3F-37; 883F37; UHTEK CO., LTD.; 403DONG 503HO, 655 PYEONGCHEON-RO; 14502; KR
48-93-DC; 4893DC; UNIWAY INFOCOM PVT LTD; BLOCK C 9 4 WAZIRPUR INDUSTRIAL AREA; 110052; IN
5C-E6-88; 5CE688; VECOS Europe B.V.; ESP 237; AD; NL
D4-BA-FA; D4BAFA; GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD; NO.18 HAIBIN ROAD,; 523860; CN
00-80-B8; 0080B8; DMG MORI Digital Co., LTD; 1-1-14 Techno park,; 004-0015; JP
28-73-F6; 2873F6; Amazon Technologies Inc.; P.O Box 8102; 89507; US
C4-EB-FF; C4EBFF; zte corporation; 12/F.,zte R&D building ,kejinan Road,Shenzhen,P.R.China; 518057; CN
5C-28-86; 5C2886; Inventec(Chongqing) Corporation; No.66 West District 2nd Rd, Shapingba District; 401331; CN
20-15-82; 201582; Apple, Inc.; 1 Infinite Loop; 95014; US
E0-CB-1D; E0CB1D; Amazon Technologies Inc.; P.O Box 8102; 89507; US
FC-84-A7; FC84A7; Murata Manufacturing Co., Ltd.; 1-10-1, Higashikotari; 617-8555; JP
40-92-1A; 40921A; Apple, Inc.; 1 Infinite Loop; 95014; US
10-E2-C9; 10E2C9; Apple, Inc.; 1 Infinite Loop; 95014; US
4C-EC-0F; 4CEC0F; Cisco Systems, Inc; 80 West Tasman Drive; 94568; US
3C-CB-4D; 3CCB4D; Avikus Co., Ltd; 11F, 70, Nonhyeon-ro 85-gil; 06234; KR
24-A4-2C; 24A42C; NETIO products a.s.; U Pily 3; 00; CZ
